"Variable";"N";"Mean";"Std. Dev.";"Min";"Pctl. 25";"Pctl. 75";"Max"
"Prevalence";"59";"0.306";"0.256";"0.052";"0.1";"0.442";"0.923"
"Taxonomic level";"59";"";"";"";"";"";""
"... family";"57";"96.6%";"";"";"";"";""
"... group";"1";"1.7%";"";"";"";"";""
"... phylum";"1";"1.7%";"";"";"";"";""
"Null_model";"59";"0.925";"0.309";"0.411";"0.622";"1.194";"1.385"
"chGLM.fit";"59";"0.761";"0.302";"0.235";"0.486";"1.024";"1.337"
"hGLM.fit";"59";"0.76";"0.302";"0.235";"0.488";"1.025";"1.34"
"ada2020.fit";"59";"0.675";"0.27";"0.212";"0.44";"0.898";"1.213"
"rf2020.fit";"59";"0.209";"0.1";"0.045";"0.125";"0.281";"0.441"
"ada2021.fit";"59";"0.678";"0.271";"0.171";"0.443";"0.881";"1.209"
"rf2021.fit";"59";"0.209";"0.1";"0.044";"0.125";"0.281";"0.44"
"ada2022.fit";"59";"0.675";"0.273";"0.166";"0.439";"0.894";"1.208"
"rf2022.fit";"59";"0.208";"0.1";"0.045";"0.124";"0.281";"0.441"
"ada2023.fit";"59";"0.68";"0.275";"0.17";"0.426";"0.885";"1.228"
"rf2023.fit";"59";"0.209";"0.099";"0.044";"0.125";"0.281";"0.443"
"ada2024.fit";"59";"0.676";"0.273";"0.171";"0.437";"0.888";"1.223"
"rf2024.fit";"59";"0.209";"0.1";"0.045";"0.125";"0.281";"0.444"
"ANN.fit";"59";"0.69";"0.28";"0.198";"0.438";"0.909";"1.235"
"expl.pow_chGLM.fit";"59";"0.187";"0.14";"-0.024";"0.066";"0.27";"0.578"
"expl.pow_hGLM.fit";"59";"0.187";"0.14";"-0.03";"0.072";"0.274";"0.576"
"expl.pow_ada2020.fit";"59";"0.277";"0.139";"0";"0.161";"0.387";"0.592"
"expl.pow_rf2020.fit";"59";"0.782";"0.057";"0.669";"0.746";"0.822";"0.918"
"expl.pow_ada2021.fit";"59";"0.275";"0.134";"0.08";"0.161";"0.369";"0.623"
"expl.pow_rf2021.fit";"59";"0.781";"0.057";"0.671";"0.746";"0.822";"0.917"
"expl.pow_ada2022.fit";"59";"0.279";"0.137";"0.052";"0.169";"0.383";"0.635"
"expl.pow_rf2022.fit";"59";"0.782";"0.057";"0.672";"0.747";"0.823";"0.918"
"expl.pow_ada2023.fit";"59";"0.273";"0.141";"-0.002";"0.166";"0.386";"0.626"
"expl.pow_rf2023.fit";"59";"0.781";"0.057";"0.672";"0.747";"0.822";"0.918"
"expl.pow_ada2024.fit";"59";"0.276";"0.143";"-0.002";"0.163";"0.361";"0.625"
"expl.pow_rf2024.fit";"59";"0.782";"0.057";"0.672";"0.747";"0.823";"0.917"
"expl.pow_ANN.fit";"59";"0.263";"0.14";"0.046";"0.147";"0.351";"0.638"
"chGLM.pred";"59";"0.889";"0.373";"0.039";"0.558";"1.223";"1.359"
"hGLM.pred";"59";"0.895";"0.379";"0.044";"0.573";"1.244";"1.449"
"ada2020.pred";"59";"0.869";"0.378";"0.045";"0.539";"1.221";"1.414"
"rf2020.pred";"59";"0.854";"0.349";"0.026";"0.577";"1.139";"1.327"
"ada2021.pred";"59";"0.865";"0.374";"0.04";"0.539";"1.194";"1.407"
"rf2021.pred";"59";"0.855";"0.349";"0.025";"0.582";"1.148";"1.34"
"ada2022.pred";"59";"0.868";"0.379";"0.046";"0.539";"1.209";"1.438"
"rf2022.pred";"59";"0.853";"0.35";"0.026";"0.576";"1.147";"1.322"
"ada2023.pred";"59";"0.878";"0.386";"0.029";"0.545";"1.22";"1.474"
"rf2023.pred";"59";"0.852";"0.35";"0.026";"0.578";"1.151";"1.335"
"ada2024.pred";"59";"0.872";"0.383";"0.041";"0.546";"1.23";"1.558"
"rf2024.pred";"59";"0.853";"0.349";"0.025";"0.575";"1.142";"1.32"
"ANN.pred";"59";"0.88";"0.382";"0.03";"0.55";"1.199";"1.453"
"expl.pow_chGLM.pred";"59";"-0.008";"0.481";"-1.501";"-0.258";"0.245";"0.937"
"expl.pow_hGLM.pred";"59";"-0.017";"0.501";"-1.828";"-0.277";"0.232";"0.93"
"expl.pow_ada2020.pred";"59";"0.008";"0.513";"-1.753";"-0.19";"0.286";"0.927"
"expl.pow_rf2020.pred";"59";"0.029";"0.443";"-1.085";"-0.208";"0.293";"0.958"
"expl.pow_ada2021.pred";"59";"0.018";"0.485";"-1.499";"-0.178";"0.267";"0.937"
"expl.pow_rf2021.pred";"59";"0.028";"0.442";"-1.138";"-0.209";"0.29";"0.961"
"expl.pow_ada2022.pred";"59";"0.01";"0.513";"-1.769";"-0.192";"0.286";"0.926"
"expl.pow_rf2022.pred";"59";"0.031";"0.441";"-1.145";"-0.216";"0.291";"0.959"
"expl.pow_ada2023.pred";"59";"-0.003";"0.529";"-1.802";"-0.201";"0.263";"0.954"
"expl.pow_rf2023.pred";"59";"0.032";"0.439";"-1.125";"-0.212";"0.291";"0.958"
"expl.pow_ada2024.pred";"59";"0.007";"0.517";"-1.917";"-0.186";"0.272";"0.934"
"expl.pow_rf2024.pred";"59";"0.03";"0.442";"-1.116";"-0.213";"0.295";"0.959"
"expl.pow_ANN.pred";"59";"0.002";"0.482";"-1.264";"-0.256";"0.305";"0.952"
"chGLM.likelihood.ratio";"59";"0.954";"0.173";"0.587";"0.843";"1.055";"1.298"
"hGLM.likelihood.ratio";"59";"0.951";"0.176";"0.595";"0.835";"1.07";"1.304"
"ada2020.likelihood.ratio";"59";"0.923";"0.167";"0.557";"0.81";"1.021";"1.268"
"rf2020.likelihood.ratio";"59";"0.734";"0.126";"0.57";"0.636";"0.811";"1.071"
"ada2021.likelihood.ratio";"59";"0.925";"0.163";"0.566";"0.817";"1.034";"1.261"
"rf2021.likelihood.ratio";"59";"0.734";"0.125";"0.57";"0.632";"0.808";"1.072"
"ada2022.likelihood.ratio";"59";"0.924";"0.167";"0.559";"0.814";"1.029";"1.269"
"rf2022.likelihood.ratio";"59";"0.734";"0.126";"0.567";"0.634";"0.815";"1.072"
"ada2023.likelihood.ratio";"59";"0.922";"0.171";"0.563";"0.805";"1.026";"1.266"
"rf2023.likelihood.ratio";"59";"0.735";"0.126";"0.567";"0.633";"0.816";"1.071"
"ada2024.likelihood.ratio";"59";"0.923";"0.169";"0.561";"0.814";"1.021";"1.265"
"rf2024.likelihood.ratio";"59";"0.734";"0.125";"0.571";"0.633";"0.813";"1.072"
"ANN.likelihood.ratio";"59";"0.926";"0.173";"0.597";"0.796";"1.046";"1.282"
"Big.pred.expl.pow.diff";"59";"0.168";"0.141";"0.023";"0.089";"0.184";"0.831"
"chGLM.pred.expl.pow.diff";"59";"0.087";"0.088";"0.002";"0.026";"0.108";"0.47"
